,0
1471,尹斗俊
1472,Secret
1473,全孝盛
1474,张彬彬
1475,Hoya
1476,Damien Rice
1477,朴嘉熙
1478,姜知英
1479,NEO SCHOOL
1480,刘承宇
1481,贾静雯
1482,苏菲·玛索
1483,杨秀惠
1484,冯允谦
1485,胡鸿钧
1486,温流
1487,黄秋生
1488,张檬
1489,吴大维
1490,山下智久
1491,维多利亚·贝克汉姆
1492,阮兆祥
1493,张楚
1494,娜塔丽·波特曼
1495,李周宪
1496,苏运莹
1497,耿乐
1498,朴昭妍
1499,曹轩宾
1500,安在洪
1501,柳德焕
1502,金晨
1503,郑元畅
1504,姜涩琪（SeulGi）
1505,晋久
1506,童瑶
1507,吴世勋
1508,CODE-V
1509,Yif
1510,Eric Nam
1511,高晓松
1512,张琦
1513,柯震东
1514,邓颖芝
1515,许佳慧
1516,黑豹乐队
1517,朴韩星
1518,吴浩康
1519,金多顺
1520,少年共和国
1521,SNUPER
1522,尼坤
1523,金绿贤
1524,林又立
1525,申世景
1526,孙杨
1527,钟舒漫
1528,Air Supply
1529,熊木杏里
1530,Mariah Carey
1531,刘浩龙
1532,钟欣潼
1533,朴敏英
1534,李玟雨
1535,NMB48
1536,钟楚红
1537,于文文
1538,痛仰
1539,金泰宇
1540,宁静
1541,穆妍熙
1542,斯嘉丽·约翰逊
1543,陈瑶
1544,刘仁娜
1545,何洁
1546,I.O.I
1547,易嘉爱
1548,生田斗真
